SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD
PAN_1381512181111|-79.525|8.986|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[pan,pan]|[30s,30s]|[a2,baseline]|/var/www/analogues/outputs/PAN_1381512181111/|0.0
PAN_1381512304543|-79.525|8.986|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[pan,pan]|[30s,30s]|[b1,baseline]|/var/www/analogues/outputs/PAN_1381512304543/|0.0
PAN_1381512426730|-79.525|8.986|ccafs|[mri_cgcm2_3_2a,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[pan,pan]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/PAN_1381512426730/|0.0
PAN_1381512618087|-79.525|8.986|ccafs|[ncar_pcm1,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[pan,pan]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/PAN_1381512618087/|0.0
RWA_1381512695495|-79.525|8.986|ccafs|[ncar_pcm1,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[pan,rwa]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/RWA_1381512695495/|0.0
GLOBAL_1381512986728|105.874|21.031|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[vnm,global]|[30s,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381512986728/|0.0
GLOBAL_1381516788439|105.874|21.031|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[vnm,global]|[30s,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381516788439/|0.0
GLOBAL_1381518148513|105.874|21.031|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[vnm,global]|[30s,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381518148513/|0.0
GLOBAL_1381519157888|36.7|-1.08|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381519157888/|0.0
GLOBAL_1381520145281|36.7|-1.08|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381520145281/|0.2
