SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD
GHA_1371824241108|-0.849144958937|9.41581576903|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371824241108/|0.6
GHA_1371824758255|-0.849144958937|9.41581576903|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371824758255/|0.7
GHA_1371825234669|-0.849144958937|9.41581576903|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371825234669/|0.8
GHA_1371825335389|-0.849144958937|9.41581576903|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371825335389/|0.9
GLOBAL_1371839300461|-74.8828125|5.22224651323|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1371839300461/|0.0
GBR_1371841111057|-0.173602847|51.5316457671|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|4:10|prec|[2020_2049,1960_1990]|[gbr,gbr]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/GBR_1371841111057/|0.5
GBR_1371841254581|-0.173602847|51.5316457671|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|4:10|prec|[2020_2049,1960_1990]|[gbr,gbr]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/GBR_1371841254581/|0.0
BRA_1371841627295|-49.094725685|-25.2562908174|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|4:10|prec|[2020_2049,1960_1990]|[bra,bra]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/BRA_1371841627295/|0.5
GHA_1371845099029|-0.591464468324|9.49837373186|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[gha,gha]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/GHA_1371845099029/|0.0
GLOBAL_1371845213341|-0.591464468324|9.49837373186|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1371845213341/|0.0
GHA_1371850103170|-0.865624451125|9.44832916665|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|11:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371850103170/|0.0
GHA_1371850157428|-0.865624451125|9.44832916665|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|11:2|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371850157428/|0.0
GLOBAL_1372082764189|-76.5307617188|3.41472476462|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1372082764189/|0.0
